Type,Title,Content,Sender_brand,Topic_category,Suspicion_level,LLM_likeness,Language_style,Phishing_technique,Is_Phishing,Model_Source,Text
SMS,Brak,Orange przypomina o platnosci. Szczegoly w aplikacji lub na orange.pl/p/2M5K8Q3P9R6.,Orange,Payment / refund,1,4,very correct corporate,brak,False,grok_4.1,"[TYPE] SMS
[SENDER] Orange
[TITLE] Brak
[CONTENT] Orange przypomina o platnosci. Szczegoly w aplikacji lub na orange.pl/p/2M5K8Q3P9R6."
E-mail,Zmiana Regulaminu Allegro - luty 2025,"Dzien dobry, pragniemy poinformowac, ze od dnia 25 lutego 2025 roku ulegaja zmianie niektore punkty Regulaminu serwisu Allegro. Zmiany dotycza glownie zasad korzystania z uslugi Allegro Smart! oraz oplat za wystawianie ofert w kategoriach motoryzacyjnych. Nowy regulamin dostepny jest w calosci na naszej stronie internetowej w zakladce ""Regulaminy"". Wprowadzone zmiany maja na celu dostosowanie serwisu do aktualnych wymogow prawnych oraz podniesienie jakosci swiadczonych uslug. Jezeli akceptujesz nowe warunki, nie musisz podejmowac zadnych dzialan. W przypadku braku akceptacji, masz prawo do wypowiedzenia umowy w ciagu 14 dni. Dziekujemy za korzystanie z Allegro.",Allegro,Data / certificate update,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] Allegro
[TITLE] Zmiana Regulaminu Allegro - luty 2025
[CONTENT] Dzien dobry, pragniemy poinformowac, ze od dnia 25 lutego 2025 roku ulegaja zmianie niektore punkty Regulaminu serwisu Allegro. Zmiany dotycza glownie zasad korzystania z uslugi Allegro Smart! oraz oplat za wystawianie ofert w kategoriach motoryzacyjnych. Nowy regulamin dostepny jest w calosci na naszej stronie internetowej w zakladce ""Regulaminy"". Wprowadzone zmiany maja na celu dostosowanie serwisu do aktualnych wymogow prawnych oraz podniesienie jakosci swiadczonych uslug. Jezeli akceptujesz nowe warunki, nie musisz podejmowac zadnych dzialan. W przypadku braku akceptacji, masz prawo do wypowiedzenia umowy w ciagu 14 dni. Dziekujemy za korzystanie z Allegro."
SMS,Brak,Media Expert: Twoje zamowienie nr 102938 jest gotowe do odbioru. Kod: 5821. Czekamy na Ciebie w salonie.,Media Expert,Parcel pickup,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] Media Expert
[TITLE] Brak
[CONTENT] Media Expert: Twoje zamowienie nr 102938 jest gotowe do odbioru. Kod: 5821. Czekamy na Ciebie w salonie."
E-mail,Faktura T-Mobile - luty 2025,"Czesc, wystawilismy nowa fakture za Twoje uslugi. Kwota do zaplaty: 65,00 PLN. Termin: 15.02.2025. Faktura w zalaczniku. Mozesz ja oplacic szybko w aplikacji. Dziekujemy! Zespol T-Mobile.",T-Mobile,Payment / refund,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] T-Mobile
[TITLE] Faktura T-Mobile - luty 2025
[CONTENT] Czesc, wystawilismy nowa fakture za Twoje uslugi. Kwota do zaplaty: 65,00 PLN. Termin: 15.02.2025. Faktura w zalaczniku. Mozesz ja oplacic szybko w aplikacji. Dziekujemy! Zespol T-Mobile."
E-mail,Google: Zablokowano logowanie,"Witaj, zablokowalismy probe logowania na Twoje konto Google z nieznanego urzadzenia w lokalizacji Bangkok, Tajlandia. Data: 29 stycznia 2025. Jesli to nie Ty, Twoje haslo jest zagrozone. Zmien je natychmiast tutaj: google-security-check-alert.net/reset/93M2 . Zadbaj o bezpieczenstwo swoich danych. Zespol Google.",Inny,Login / verification,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Google: Zablokowano logowanie
[CONTENT] Witaj, zablokowalismy probe logowania na Twoje konto Google z nieznanego urzadzenia w lokalizacji Bangkok, Tajlandia. Data: 29 stycznia 2025. Jesli to nie Ty, Twoje haslo jest zagrozone. Zmien je natychmiast tutaj: google-security-check-alert.net/reset/93M2 . Zadbaj o bezpieczenstwo swoich danych. Zespol Google."
E-mail,Wezwanie do zaplaty - Play,"Dzial Windykacji Play przypomina o zaleglosci na kwote 115,00 PLN. Termin platnosci minal. Prosimy o wplate w ciagu 2 dni, aby uniknac blokady uslug i dodatkowych kosztow windykacyjnych. Splac dlug online: play-platnosci-windykacja.eu/pay/92M1 . Dziekujemy.",Play,Payment / refund,5,3,official-bureaucratic,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] Play
[TITLE] Wezwanie do zaplaty - Play
[CONTENT] Dzial Windykacji Play przypomina o zaleglosci na kwote 115,00 PLN. Termin platnosci minal. Prosimy o wplate w ciagu 2 dni, aby uniknac blokady uslug i dodatkowych kosztow windykacyjnych. Splac dlug online: play-platnosci-windykacja.eu/pay/92M1 . Dziekujemy."
SMS,Brak,Kurier DHL: Nie zastano odbiorcy. Przesylka przekierowana do punktu DHL POP. Odbierz ja w ciagu 7 dni.,DHL,Parcel tracking,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] DHL
[TITLE] Brak
[CONTENT] Kurier DHL: Nie zastano odbiorcy. Przesylka przekierowana do punktu DHL POP. Odbierz ja w ciagu 7 dni."
E-mail,T-Mobile: Blokada numeru,"Drogi Kliencie, Twoj numer zostanie zablokowany z powodu braku rejestracji. Potwierdz tozsamosc: [t-mobile-sim-verify.com/check/82L3](https://www.google.com/search?q=https://t-mobile-sim-verify.com/check/82L3) . Masz 12h. T-Mobile.",T-Mobile,Data / certificate update,5,2,urgent verification + fake link,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] T-Mobile
[TITLE] T-Mobile: Blokada numeru
[CONTENT] Drogi Kliencie, Twoj numer zostanie zablokowany z powodu braku rejestracji. Potwierdz tozsamosc: [t-mobile-sim-verify.com/check/82L3](https://www.google.com/search?q=https://t-mobile-sim-verify.com/check/82L3) . Masz 12h. T-Mobile."
SMS,Brak,"Wazne: Twoj Profil Zaufany wygasnie za 24h. Przedluz go online, aby nie stracic dostepu do e-uslug: profil-zaufany-przedluzenie.pl/nowy/92L3",ePUAP,Data / certificate update,5,2,official-bureaucratic,fake security update,True,gemini_3,"[TYPE] SMS
[SENDER] ePUAP
[TITLE] Brak
[CONTENT] Wazne: Twoj Profil Zaufany wygasnie za 24h. Przedluz go online, aby nie stracic dostepu do e-uslug: profil-zaufany-przedluzenie.pl/nowy/92L3"
E-mail,Aktualizacja regulaminu - Allegro Smart!,"Dzien dobry, informujemy, ze od 20 kwietnia 2025 roku zmieniaja sie zasady programu Allegro Smart!. Glowna zmiana dotyczy minimalnej wartosci zamowienia uprawniajacej do darmowej dostawy kurierem, ktora wzrosnie z 65 PLN do 70 PLN. Minimalna kwota dla dostaw do automatow paczkowych pozostaje bez zmian (45 PLN). Zachecamy do zapoznania sie z pelna trescia nowego regulaminu dostepna na naszej stronie. Zmiany podyktowane sa rosnacymi kosztami logistycznymi. Jezeli nie akceptujesz nowych warunkow, mozesz zrezygnowac z uslugi Smart! w ustawieniach konta bez ponoszenia dodatkowych kosztow. Dziekujemy, ze jestes z nami.",Allegro,Data / certificate update,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] Allegro
[TITLE] Aktualizacja regulaminu - Allegro Smart!
[CONTENT] Dzien dobry, informujemy, ze od 20 kwietnia 2025 roku zmieniaja sie zasady programu Allegro Smart!. Glowna zmiana dotyczy minimalnej wartosci zamowienia uprawniajacej do darmowej dostawy kurierem, ktora wzrosnie z 65 PLN do 70 PLN. Minimalna kwota dla dostaw do automatow paczkowych pozostaje bez zmian (45 PLN). Zachecamy do zapoznania sie z pelna trescia nowego regulaminu dostepna na naszej stronie. Zmiany podyktowane sa rosnacymi kosztami logistycznymi. Jezeli nie akceptujesz nowych warunkow, mozesz zrezygnowac z uslugi Smart! w ustawieniach konta bez ponoszenia dodatkowych kosztow. Dziekujemy, ze jestes z nami."
Email,Zwrot DPD,"Szanowny Kliencie, nadplata DPD numer 8R4T2Q6P3M9W 12 zl. Zwroc na dpd-refund.pl/zwrot/3Q7P2M9L4K6X podajac szczegoly. Automatycznie. Wsparcie DPD.",DPD,Payment / refund,3,4,rushed-marketing,fake refund / overpayment,True,grok_4.1,"[TYPE] Email
[SENDER] DPD
[TITLE] Zwrot DPD
[CONTENT] Szanowny Kliencie, nadplata DPD numer 8R4T2Q6P3M9W 12 zl. Zwroc na dpd-refund.pl/zwrot/3Q7P2M9L4K6X podajac szczegoly. Automatycznie. Wsparcie DPD."
E-mail,Alert bezpieczenstwa mBank - podejrzany przelew,"Szanowny Kliencie, system antyfraudowy mBanku zablokowal podejrzana transakcje wychodzaca z Twojego konta na kwote 3500 PLN. Odbiorca transakcji znajduje sie w kraju podwyzszonego ryzyka. Aby odblokowac konto i potwierdzic lub odrzucic transakcje, zaloguj sie do panelu bezpieczenstwa: mbank-pl-fraud-alert-check.net/verify/10K2 . Brak reakcji w ciagu 6 godzin spowoduje trwala blokade dostepu do bankowosci internetowej. Prosimy o natychmiastowe dzialanie.",mBank,Account block warning,5,4,formal-corporate,account block threat,True,gemini_3,"[TYPE] E-mail
[SENDER] mBank
[TITLE] Alert bezpieczenstwa mBank - podejrzany przelew
[CONTENT] Szanowny Kliencie, system antyfraudowy mBanku zablokowal podejrzana transakcje wychodzaca z Twojego konta na kwote 3500 PLN. Odbiorca transakcji znajduje sie w kraju podwyzszonego ryzyka. Aby odblokowac konto i potwierdzic lub odrzucic transakcje, zaloguj sie do panelu bezpieczenstwa: mbank-pl-fraud-alert-check.net/verify/10K2 . Brak reakcji w ciagu 6 godzin spowoduje trwala blokade dostepu do bankowosci internetowej. Prosimy o natychmiastowe dzialanie."
E-mail,Nieoplacona faktura T-Mobile - wezwanie do zaplaty,"Szanowny Abonencie, Dzial Naleznosci T-Mobile Polska przypomina, ze minal ostateczny termin platnosci faktury numer 8392M1/2025 za korzystanie z uslug telefonii komorkowej w poprzednim miesiacu. Na Twoim koncie nadal widnieje zadluzenie w kwocie 85,00 PLN, co stanowi naruszenie warunkow umowy i zmusza nas do podjecia nieprzyjemnych krokow zwiazanych z blokada polaczen wychodzacych. Mozesz uniknac zablokowania numeru oraz dodatkowych kosztow windykacyjnych, oplacajac zaleglosc w ciagu najblizszych 24 godzin poprzez nasza szybka bramke platnosci online: [t-mobile-platnosci24.com/faktura/93M1](https://www.google.com/search?q=https://t-mobile-platnosci24.com/faktura/93M1) . Jezeli wplaciles juz nalezna kwote tradycyjnym przelewem bankowym, prosimy o cierpliwosc, poniewaz srodki moga zaksiegowac sie z opoznieniem, jednak zalecamy skorzystanie z platnosci natychmiastowej, aby byc pewnym utrzymania uslug. Doceniamy Twoja wieloletnia obecnosc w naszej sieci i liczymy na polubowne rozwiazanie sprawy.",T-Mobile,Payment / refund,4,3,formal-corporate,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] T-Mobile
[TITLE] Nieoplacona faktura T-Mobile - wezwanie do zaplaty
[CONTENT] Szanowny Abonencie, Dzial Naleznosci T-Mobile Polska przypomina, ze minal ostateczny termin platnosci faktury numer 8392M1/2025 za korzystanie z uslug telefonii komorkowej w poprzednim miesiacu. Na Twoim koncie nadal widnieje zadluzenie w kwocie 85,00 PLN, co stanowi naruszenie warunkow umowy i zmusza nas do podjecia nieprzyjemnych krokow zwiazanych z blokada polaczen wychodzacych. Mozesz uniknac zablokowania numeru oraz dodatkowych kosztow windykacyjnych, oplacajac zaleglosc w ciagu najblizszych 24 godzin poprzez nasza szybka bramke platnosci online: [t-mobile-platnosci24.com/faktura/93M1](https://www.google.com/search?q=https://t-mobile-platnosci24.com/faktura/93M1) . Jezeli wplaciles juz nalezna kwote tradycyjnym przelewem bankowym, prosimy o cierpliwosc, poniewaz srodki moga zaksiegowac sie z opoznieniem, jednak zalecamy skorzystanie z platnosci natychmiastowej, aby byc pewnym utrzymania uslug. Doceniamy Twoja wieloletnia obecnosc w naszej sieci i liczymy na polubowne rozwiazanie sprawy."
SMS,Brak,Pekao: Wykryto podejrzana transakcje w internecie. Zablokowalismy dostep do karty. Odblokuj: pekao24-blokada-karty-check.net/verify/93M1,Pekao,Account block warning,5,3,formal-corporate,account block threat,True,gemini_3,"[TYPE] SMS
[SENDER] Pekao
[TITLE] Brak
[CONTENT] Pekao: Wykryto podejrzana transakcje w internecie. Zablokowalismy dostep do karty. Odblokuj: pekao24-blokada-karty-check.net/verify/93M1"
SMS,Brak,"ePUAP: Otrzymales pismo z Urzedu Miasta. Zaloguj sie do skrzynki odbiorczej, aby je pobrac.",ePUAP,US/ZUS notification,1,1,official-bureaucratic,brak,False,gemini_3,"[TYPE] SMS
[SENDER] ePUAP
[TITLE] Brak
[CONTENT] ePUAP: Otrzymales pismo z Urzedu Miasta. Zaloguj sie do skrzynki odbiorczej, aby je pobrac."
SMS,Brak,"Kod odbioru paczki DPD Pickup: 5821. Przesylka czeka w punkcie Zabka, ul. Dluga 5. Odbierz do 29.01.2025. Dziekujemy.",DPD,Parcel pickup,1,1,formal-corporate,brak,False,gemini_3,"[TYPE] SMS
[SENDER] DPD
[TITLE] Brak
[CONTENT] Kod odbioru paczki DPD Pickup: 5821. Przesylka czeka w punkcie Zabka, ul. Dluga 5. Odbierz do 29.01.2025. Dziekujemy."
E-mail,Faktura pro forma nr 948201/2025,"Szanowni Panstwo, w zalaczeniu przesylamy fakture pro forma dotyczaca zlozonych zamowien na uslugi hostingowe, ktore wygasaja w nadchodzacym tygodniu i wymagaja pilnego odnowienia. Prosimy o dokonanie platnosci w kwocie 499,00 PLN brutto na wskazany w dokumencie numer rachunku bankowego w nieprzekraczalnym terminie 3 dni, aby zapewnic ciaglosc dzialania Panstwa stron internetowych i kont pocztowych. Po zaksiegowaniu wplaty wystawimy i przeslemy wlasciwa fakture VAT, ktora bedzie podstawa do rozliczenia kosztow w ksiegowosci. W przypadku braku wplaty w wyznaczonym terminie, uslugi zostana automatycznie zawieszone, co moze skutkowac utrata danych oraz brakiem dostepu do poczty e-mail. W razie pytan dotyczacych platnosci lub zakresu uslug, prosimy o kontakt z naszym dzialem rozliczen pod adresem faktury@hosting-domeny.pl.",Inny,Payment / refund,3,2,formal-corporate,fake payment demand,True,gemini_3,"[TYPE] E-mail
[SENDER] <MASK>
[TITLE] Faktura pro forma nr 948201/2025
[CONTENT] Szanowni Panstwo, w zalaczeniu przesylamy fakture pro forma dotyczaca zlozonych zamowien na uslugi hostingowe, ktore wygasaja w nadchodzacym tygodniu i wymagaja pilnego odnowienia. Prosimy o dokonanie platnosci w kwocie 499,00 PLN brutto na wskazany w dokumencie numer rachunku bankowego w nieprzekraczalnym terminie 3 dni, aby zapewnic ciaglosc dzialania Panstwa stron internetowych i kont pocztowych. Po zaksiegowaniu wplaty wystawimy i przeslemy wlasciwa fakture VAT, ktora bedzie podstawa do rozliczenia kosztow w ksiegowosci. W przypadku braku wplaty w wyznaczonym terminie, uslugi zostana automatycznie zawieszone, co moze skutkowac utrata danych oraz brakiem dostepu do poczty e-mail. W razie pytan dotyczacych platnosci lub zakresu uslug, prosimy o kontakt z naszym dzialem rozliczen pod adresem faktury@hosting-domeny.pl."
E-mail,Anulowanie rezerwacji wizyty w ZUS,"Szanowny Kliencie, informujemy, ze Twoja rezerwacja wizyty w placowce Zakladu Ubezpieczen Spolecznych zaplanowana na dzien jutrzejszy na godzine 09:30, zostala pomyslnie anulowana w naszym systemie obslugi klienta. Dziekujemy za powiadomienie nas o rezygnacji, poniewaz zwolniony termin moze zostac teraz wykorzystany przez inna osobe oczekujaca na pomoc naszych ekspertow. Przypominamy, ze wiekszosc spraw, w tym skladanie wnioskow, przegladanie historii ubezpieczenia czy generowanie zaswiadczen, mozna zalatwic calkowicie online za posrednictwem Platformy Uslug Elektronicznych (PUE) ZUS bez koniecznosci wychodzenia z domu. Jesli zdecydujesz sie na ponowna wizyte, mozesz ja umowic telefonicznie lub przez portal internetowy o kazdej porze dnia. Dbamy o Twoj czas i bezpieczenstwo sanitarne.",ZUS,US/ZUS notification,1,1,official-bureaucratic,brak,False,gemini_3,"[TYPE] E-mail
[SENDER] ZUS
[TITLE] Anulowanie rezerwacji wizyty w ZUS
[CONTENT] Szanowny Kliencie, informujemy, ze Twoja rezerwacja wizyty w placowce Zakladu Ubezpieczen Spolecznych zaplanowana na dzien jutrzejszy na godzine 09:30, zostala pomyslnie anulowana w naszym systemie obslugi klienta. Dziekujemy za powiadomienie nas o rezygnacji, poniewaz zwolniony termin moze zostac teraz wykorzystany przez inna osobe oczekujaca na pomoc naszych ekspertow. Przypominamy, ze wiekszosc spraw, w tym skladanie wnioskow, przegladanie historii ubezpieczenia czy generowanie zaswiadczen, mozna zalatwic calkowicie online za posrednictwem Platformy Uslug Elektronicznych (PUE) ZUS bez koniecznosci wychodzenia z domu. Jesli zdecydujesz sie na ponowna wizyte, mozesz ja umowic telefonicznie lub przez portal internetowy o kazdej porze dnia. Dbamy o Twoj czas i bezpieczenstwo sanitarne."
